Z,Groen et al,Schmitt et al,Simulation (extended cermide),Simulation (hairpin ceramide)
-2.9464,79.016,NaN,NaN,NaN
-2.9463,79.033,NaN,NaN,NaN
-2.9462,79.049,NaN,NaN,NaN
-2.9461,79.065,NaN,NaN,NaN
-2.946,79.082,NaN,NaN,NaN
-2.9459,79.098,NaN,NaN,NaN
-2.9458,79.115,NaN,NaN,NaN
-2.9457,79.131,NaN,NaN,NaN
-2.9456,79.148,NaN,NaN,NaN
-2.9455,79.164,NaN,NaN,NaN
-2.9454,79.181,NaN,NaN,NaN
-2.9453,79.197,NaN,NaN,NaN
-2.9452,79.214,NaN,NaN,NaN
-2.9451,79.23,NaN,NaN,NaN
-2.945,79.247,NaN,NaN,NaN
-2.9449,79.263,NaN,NaN,NaN
-2.9448,79.28,NaN,NaN,NaN
-2.9447,79.296,NaN,NaN,NaN
-2.9446,79.313,NaN,NaN,NaN
-2.9445,79.329,NaN,NaN,NaN
-2.9444,79.346,NaN,NaN,NaN
-2.9443,79.362,NaN,NaN,NaN
-2.9442,79.378,NaN,NaN,NaN
-2.9441,79.395,NaN,NaN,NaN
-2.944,79.411,NaN,NaN,NaN
-2.9439,79.428,NaN,NaN,NaN
-2.9438,79.444,NaN,NaN,NaN
-2.9437,79.461,NaN,NaN,NaN
-2.9436,79.477,NaN,NaN,NaN
-2.9435,79.494,NaN,NaN,NaN
-2.9434,79.51,NaN,NaN,NaN
-2.9433,79.527,NaN,NaN,NaN
-2.9432,79.543,NaN,NaN,NaN
-2.9431,79.56,NaN,NaN,NaN
-2.943,79.576,NaN,NaN,NaN
-2.9429,79.593,NaN,NaN,NaN
-2.9428,79.609,NaN,NaN,NaN
-2.9427,79.626,NaN,NaN,NaN
-2.9426,79.642,NaN,NaN,NaN
-2.9425,79.659,NaN,NaN,NaN
-2.9424,79.675,NaN,NaN,NaN
-2.9423,79.691,NaN,NaN,NaN
-2.9422,79.708,NaN,NaN,NaN
-2.9421,79.724,NaN,NaN,NaN
-2.942,79.741,NaN,NaN,NaN
-2.9419,79.757,NaN,NaN,NaN
-2.9418,79.774,NaN,NaN,NaN
-2.9417,79.79,NaN,NaN,NaN
-2.9416,79.807,NaN,NaN,NaN
-2.9415,79.823,NaN,NaN,NaN
-2.9414,79.84,NaN,NaN,NaN
-2.9413,79.856,NaN,NaN,NaN
-2.9412,79.873,NaN,NaN,NaN
-2.9411,79.889,NaN,NaN,NaN
-2.941,79.906,NaN,NaN,NaN
-2.9409,79.922,NaN,NaN,NaN
-2.9408,79.939,NaN,NaN,NaN
-2.9407,79.955,NaN,NaN,NaN
-2.9406,79.972,NaN,NaN,NaN
-2.9405,79.988,NaN,NaN,NaN
-2.9404,80.004,NaN,NaN,NaN
-2.9403,80.021,NaN,NaN,NaN
-2.9402,80.037,NaN,NaN,NaN
-2.9401,80.054,NaN,NaN,NaN
-2.94,80.07,NaN,NaN,NaN
-2.9399,80.087,NaN,NaN,NaN
-2.9398,80.103,NaN,NaN,NaN
-2.9397,80.12,NaN,NaN,NaN
-2.9396,80.136,NaN,NaN,NaN
-2.9395,80.153,NaN,NaN,NaN
-2.9394,80.169,NaN,NaN,NaN
-2.9393,80.186,NaN,NaN,NaN
-2.9392,80.202,NaN,NaN,NaN
-2.9391,80.219,NaN,NaN,NaN
-2.939,80.235,NaN,NaN,NaN
-2.9389,80.252,NaN,NaN,NaN
-2.9388,80.268,NaN,NaN,NaN
-2.9387,80.285,NaN,NaN,NaN
-2.9386,80.301,NaN,NaN,NaN
-2.9385,80.317,NaN,NaN,NaN
-2.9384,80.334,NaN,NaN,NaN
-2.9383,80.35,NaN,NaN,NaN
-2.9382,80.367,NaN,NaN,NaN
-2.9381,80.383,NaN,NaN,NaN
-2.938,80.4,NaN,NaN,NaN
-2.9379,80.416,NaN,NaN,NaN
-2.9378,80.433,NaN,NaN,NaN
-2.9377,80.449,NaN,NaN,NaN
-2.9376,80.466,NaN,NaN,NaN
-2.9375,80.482,NaN,NaN,NaN
-2.9374,80.499,NaN,NaN,NaN
-2.9373,80.515,NaN,NaN,NaN
-2.9372,80.532,NaN,NaN,NaN
-2.9371,80.548,NaN,NaN,NaN
-2.937,80.565,NaN,NaN,NaN
-2.9369,80.581,NaN,NaN,NaN
-2.9368,80.598,NaN,NaN,NaN
